site,longitude,latitude,depth,trad_LOI,density,sediment_score,sedimentscore_cata,sedimentscore_name,canopy_ht,gravel_percent,coarse_sand_percent,medium_sand_percent,fine_sand_percent,silt_percent,clay_percent,mud_percent,T_cover,S_cover,H_cover,CGT_cover,total_cover,bottom tensile N,top tensile N,bottom_K,surface_K
276,-81.6302,24.51746667,6.096,0.788069541,1.101190476,3.488888889,4,Sand,12.88888889,0.849275076,4.517467321,50.1965691,34.05836708,0.362187613,10.01613381,10.37832143,1.451666667,2.091666667,0.001666667,4.4,3.545,6.925946563,40.48920619,0.431648561,0.205099374
294,-81.17045,24.75333333,2.7432,2.184845951,0.759444444,1.608333333,2,Sandy mud,16.35416667,1.035018579,10.93345344,23.61400743,40.91115865,14.23263146,9.273730436,23.5063619,2.148571429,13.77857143,0,0.774285714,15.92714286,,,,
501,-80.4342,25.11051667,0.9144,8.493311304,0.250198413,1,1,Mud,26.07222222,0.885322747,1.142532303,1.386694997,6.51317966,50.74297217,39.32929813,90.07227029,6.854,5.2,22.3,0.46,34.404,17.13025609,15.71515669,0.312323077,0.323388148
241,-80.81023333,24.80311667,3.048,2.291154004,0.700098413,2.095833333,2,Sandy mud,28.22619048,0.343713169,6.735467279,7.336645022,40.72196264,33.4781451,11.38406679,44.86221189,60.86574074,0,0,1.070185185,60.86574074,,,,
215,-80.21468333,25.2219,5.7912,0.936763594,0.668333333,3.95,4,Sand,17,0.729705878,12.56335226,27.01595891,42.05529573,7.088720806,10.54696641,17.63568722,41.91666667,9.25,0,0.333333333,51.16666667,2.4796815,63.1408165,0.576024632,0.151845331
500,-80.43348333,25.08541667,2.1336,1.271198811,0.763095652,3.333333333,3,Muddy sand,19.27248677,0.360405845,13.60552526,29.36058023,16.24508101,21.08925034,19.33915732,40.42840766,20.64333333,0,0,7.736666667,20.64333333,24.4185585,27.8467999,0.304604413,0.251067251
285,-80.92033333,24.81,2.7432,1.487113513,0.824021739,3.372222222,3,Muddy sand,12.43518519,0,4.924155435,47.77590512,27.86703603,4.66910318,14.76380024,19.43290342,4.1,0,0,7.308333333,4.1,,,,
287,-81.00831667,24.84666667,2.1336,4.382092461,0.631954348,2.416666667,2,Sandy mud,30.37916667,0.791162112,2.909314769,8.489744345,22.20639323,38.98575358,26.61763197,65.60338555,8.301666667,40.04166667,0.041666667,1.511666667,48.385,,,,
269,-81.55953333,24.55935,8.2296,1.437405197,1.052717391,2.401851852,2,Sandy mud,18.82407407,5.986890534,2.053225715,8.901942869,47.59047173,18.48074227,16.98672688,35.46746915,18.75,5.251666667,0,2.842222222,24.00166667,8.28661925,7.379504125,0.40745255,0.423058996
235,-80.66853333,24.87128333,4.2672,1.647921443,0.947513043,2.762962963,3,Muddy sand,17.7037037,0,1.988925707,19.22208245,50.79331832,17.34412443,10.6515491,27.99567353,17,0,0,9.925,17,9.843424938,20.50815681,0.384495528,0.289417597
239,-80.71608333,24.80225,7.3152,0.808630928,1.451347826,4,4,Sand,14.49074074,0.116408447,0.863823591,31.00569016,65.52949873,0.381990572,2.102588502,2.484579074,32.45833333,8.25,0.041666667,4.935,40.75,9.114055344,127.0505989,0.394729343,0.070761266
260,-81.41775,24.62598333,3.048,2.136651584,0.839891304,1.833333333,2,Sandy mud,16.21296296,10.59745665,2.219165816,9.084623394,31.70188402,36.91316753,9.483702593,46.39687012,19.58333333,0,0,13.80833333,19.58333333,33.71648853,10.24794925,0.22744911,0.379162275
296,-81.28768333,24.78888333,1.8288,5.488641087,0.274867391,1.62962963,2,Sandy mud,41.15,5.421873633,18.64325885,12.31694415,10.34181031,24.1224058,29.15370725,53.27611305,20.20833333,47.58333333,0,1.836666667,67.79166667,13.10413606,6.220218,0.346904682,0.446284599
255,-81.24541667,24.62386667,9.144,0.745610594,1.409021739,3.783333333,4,Sand,13.75,2.224133644,5.320705715,28.0318312,56.91586364,3.615088529,3.892377274,7.507465803,1.626666667,0,0,0.691666667,1.626666667,3.0596748,27.70378625,0.545638347,0.251706846
south nest,-80.524329,25.134159,1.8288,1.953781033,0.581735714,,2,Sandy mud,,0.986845191,6.993905699,25.44034371,28.19950783,11.49130569,26.88809188,38.37939757,0,0,0,0,0,,,,
mantee,-80.602531,25.081963,2.1336,1.344232134,0.674098413,,2,Sandy mud,,1.222778344,4.808433361,26.30198875,18.80291152,13.73078797,35.13310006,48.86388803,0,0,0,0,0,,,,
502,-80.62071667,24.9267,0.9144,1.90712226,0.578365079,3.392592593,3,Muddy sand,10.11904762,,,,,,,,2.145,0,0,4.385,2.145,,,,
305,-81.55495,24.76871667,3.048,0.810445,1.043087302,3.85,4,Sand,14.58333333,1.357550791,1.647200637,21.89079908,68.76872484,0.629037543,5.706687108,6.335724651,8.893518519,3.55462963,0.008333333,0.351666667,12.45648148,,,,
225,-80.42303333,25.06021667,3.3528,1.065854831,0.579920635,4,4,Sand,12.86607143,0,2.714199792,43.44250642,47.68658757,2.35114003,3.805566187,6.156706217,20.09166667,13.81875,0,0.675416667,33.91041667,14.04802613,69.69259267,0.337870472,0.14019925
216,-80.25536667,25.17953333,10.9728,0.996567537,1.101040741,3.848148148,4,Sand,9.261904762,0,0.872545478,14.55172077,72.13412517,5.103957537,7.34005938,12.44401692,0.3,4.716666667,0.5,0.216666667,5.516666667,,,,
237,-80.66241667,24.85973333,5.7912,1.271068113,0.620636364,3.716666667,4,Sand,10.42427249,0.614956282,2.052334163,44.81159998,45.17213117,3.681435673,3.667542739,7.348978412,9.121111111,2.13962963,0,7.037037037,11.26074074,,,,
248,-80.98131667,24.68591667,9.7536,1.083495615,1.243545455,3.503703704,4,Sand,18.23148148,0.743668456,1.239546821,7.527630384,81.86197406,5.143657125,3.483523152,8.627180277,32.16666667,5.11,0,0.01,37.27666667,15.94806456,16.40979433,0.321495858,0.317829831
